# THIS YEAR'S BEST TIMES
## 
### 
Event Stanford California
100 9 4-5, Richman 9 9-10, Ewing
220 22 flat, Richman 22 1-5, Van Gelder
440 47 4-5, Spencer 50' 1-5, Talbot
880 1:58 2-5, McKinnon 1:58 1-5, IJoyden
1 Mile 4:27 4-5, McKinnon 4:24, Schwobeda
2 Mile 9:56 2-5, Ranney 9:57, Stevens
Shot 49 ft. 8 1-2 in., Hoffman 47 ft. 3 in., Gerkin
Discus 147 ft. 3 1-2 in., Hoffman 140 ft. 3-5 in., Gerkiu
High Jump 6 ft. 1-4 in., King 6 ft. 1 in., Hampton
Broad Jump 23 ft. 4 in., Dyer 21 ft. 10 in., Marcus
Pole Vault 13 ft., Edmunds 12 ft. 6 in., Hill
120 Highs 14 4-5, Nichols 15 1-5, Ragan
Relay 3:21 2-5 3:24
