# BEAR-CARD RESULTS
## 
### 
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
Year S C
1892 14 10
1892 10 10
1893 3 3
1894 6 0
1895 6 6
1896 20 0
1897 28 0
1898 0 22
1899 0 30
1900 5 0
1901 0 2
1902 0 16
1903 6 6
1904 18 0
1905 12 5
1906 6 3
1918 0 67
1919 10 14
1920 0 38
1921 7 42
1922 0 28
1923 , 0 9
1924 20 20
1925 27 14
1926 41 6 |
