# TEAM ROSTERS
## STANFORD SQUAD 
### 
1932
No. Name Position Weight Experience
2. Hillman, Jack full 196 Varsity:
3. Blanchard, Lee center 184 Varsity j
4. Packard, Dave . 1. end 207 Varsity j
5. Rouble, Larry r. guard 179 Frosh
7. Lettunich, Ed r. tackle 203 Varsity •
8. Norgard, Al r. end 187 Varsity
9. Maino, Rusty r. guard 189 Varsity
10. Adams, Woody 1. guard 1811. Frosh
11. Callaway, Claude r. tackle 203 Frosh
14. Maentz, Bob 1. half 177 Varsity i
15. Reynolds, Bob 1. tackle 227 Frosh i
16. Zaches, Paul 1. half 174 Grays |
17. Bates, Bill center 182 Varsity i
18. AfHerbaugh, Ken r. half 174 Varsity
19. Corbus, Bill r. guard 195 Varsity
20. Smith, Lyle r. end 173 Varsity
21. Steiner, Bob r. end 190 Grays |
22. Grayson, Bob full 187 Frosh!
23. Moscrip, Jim 1. end 188 Frosh
24. Alustiaz, Frank quarter 191 Frosh I
25. Grunsky, Bob 1. end 187 Grays
26. Hamilton, Bob i;, half 181 Frosh!
27. Van Dellen, Buck 1. half 174 . Varsity
28. Leedy, George quarter 185 Frosh j
29. Hoos, Earl quarter 179 Frosh
30. Palamountain, Ben 1. tackle 207 Varsity
31. Trompas, Alex 1. end 160 Grays
32. Black, Robert 1. guard 180 Frosh
33. Muller, Wes center 216 Grays
34. Reisner, Johnny 1. half IGO Frosh
35. Tarver, Bruce r. guard 181 Varsity
36. Holwerda, Jack r. tackle 223 Varsity
37. White, Chuck r. half 165 Varsity
38. Buchanan, Glen end 183 Varsity
39. Monsalve, Carlos r. end 180 Varsity
40. Todd, Ray fullback 182 Frosh
41. Lewis, Ray half 159 Frosh
42. Kite, Ted 1. guard 185 Varsity
43. Brandin, Alf center 186 Frosh
45. Dro,wn, Jack 1. tackle 212 Grays
46. Ransome, Homer r. end 183 Varsity
47. Fowler, Bob 1. guard 183 Gray
48. Carlson, Harry tackle 193 Frosh
49. Topping, Keith r. end 179 Grays
50. Vankirk, Al center 182 Grays
52. Stevens, Wes quarter 192 Varsity
53. O'Connor, Bob 1. guard 201 Varsity
54. Norwood, Jack quarter 196 Varsity
55. Dunn, Gordon tackle 252 Transfer
58. Sim, Bill quarter, half 179 Varsity
