# CONFERENCE STANDINGS SOUTHERN DIVISION
## 
### 
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
Team W. L. Pet
Stanford 4 1 .80(1
U.S.C 3 2 .600
California 2 3 .40(1
U.C.L.A 1 4 .20C
