# Card
## Roster 
### 
No. Name Pos.
30 Abraham, Dick C
11 Andrews, Rupe LH
56 Banks, John RH
18 Barnes, Jack C
12 Benson, Boyd RH
45 Boruck, Holbrook RH
14 Broome, Dick LH
44 Caslagnoli, Jim C
5 Cone, Jesse RG
13 Cook, Hart RG
46 Daly, Lee LT
20 DeYoung, Bill FB
27 Enberg, Don E
9 Field, Dave LH
42 Fix, Don RG
29 Gaedtke, Dick T
15 Griffin, Bob FB
51 Hayes, Jim RH
61 Hokanson, Chuck T
54 Horn, Dick QB
25 Hugasian, Harry LH
43 Jacob, Joe RG
17 Kerkoian, Gary QB
22 Klein, Bud FB
38 Laakso, A 1 RE
62 I.atham, Robert T
40 Lucas, Dick LG
3 McColl, Bill LE
39 Melloway. Marvin FB
32 Mervin, Dan RE
21 Mitchell, Emery FB
4 Peck, Ken RH
10 Pomeroy, Russ LG
16 Poulson, Wes RT
23 Rau, A 1 RT
47 Rice, Gordy C
26 Rose, Ken RE
34 Rosekrans, John RT
28 Rye, Jack RE
41 Shaw, Tom QB
31 Southwood, Eric FB
53 Taylor, Wilbur LE
8 Titus, Micky RH
52 Van Alstyne, Bruce RE
7 Walker, Hal LT
35 White, Gordon LT
66 White, Bob RH
