# Bear Roster
## 
### 
No. Name Pos.
34 Baldwin, Paul RH
84 Bartlett, Ed RE
87 Begovich, Dan LE
21 Brown, Don QB
40 Brunk, Frank LH
37 Cadenasso, John FB
22 Celeri, Bob QB
77 Cullom, Jim LT
80 Cummings, Bob RE
66 Dejong, Ray LG
65 Dodds, Rod RG
63 Edmonston, Don RG
25 Erb, Charlie QB
67 Franz, Rod RG
61 Fox, Charlie RG
52 Groger, Dick C
54 Harris, Charles C
10 Hibbs, Joe RH
51 Humpert, Frank C
73 Jones, Len RT
68 Klein, Forrest LG
38 Laster, Wally FB
89 LeMon, Dick RH
24 Markey, Chris QB
81 Minahen, Bob RE
35 Monachino, Jim FB
11 Montagne, Bill RH
75 Muehlberger, Roy LT
31 Navarro, Rube FB
72 Nelson, Lyle RT
88 Norgren, Roger LE
23 Marinos, Jim QB
20 Ogden, Brent QB
42 Pappa, John LH
82 Pressley, Norm RE
70 Price, Jim LT
50 Richter, Les C
71 Rush, Bill LT
33 Robison, Don FB
30 Schultz, Eric FB
74 Schmalenberger, Herb RT
12 Scott, Jerry RH
53 Stathakis, George C
85 Stern, Glenn RE
69 Solari, Ray LG
83 Souza, George LE
13 Swaner, Jack RH
79 Turner, Jim RT
45 Van Heuit, Carl LH
86 Ward, Roy LE
76 Witter, Bob RT
