# SAN JOSE STATE
## 
### 
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
Ashmore 0 0 0 0
TOTAL !> 13 12 31
FO FT PF TP
Chapman 1 3 3 5
Corl 3 1 1 7
Marc ! 2 1 4
McGratli 1 5 2 7
Ryan 0 I 2 I
Wheliham 0 I 0 1
Euibree 1 0 3 2
Barnes 1 0 0 2
Dsilhcy 1 0 0 2
