# IM RESULTS
## 
### 
BASKETBALL RESULTS
Zete 52, Phi Delt 47
Panthers 63, Phi Psi 33
Alpha Delt 31, Theta Xi 45
Theta Delt 50, Kappa Sig 31
ATO 37, Chi Psi 55
Phi Sig 33, Delta Chi 41
Lambda Nu 30, Delts 40
SAE 28, Phi Kap 27
Madera 41, Rinconada 34
Cedro 28, Arroyo 56
Trancos 35, Junipero 29
Arroyo B 21, Trancos B 49
Cedro B 75, Soto B 10
Lassen 41, Larkin 45
Fremont 38, Burbank 36
Alpha Sig 31, Du 44
Muir 37, Durand 39
Branner 40, Holladay 20
Tigre 54, Capitan 24
Grove 63, Otero 39
Soto 20, Serra 61
