# FROSH CAGE STATS
## 
### 
FGA FTA
NAME POS. -FG FCT. -FT PCT. REB. AVG. PTS. AVG.
O'Neil G 172-85 .495 99-70 .707 68 6.2 240 21.8
Michel F 197-83 .421 22-15 .682 127 11.5 181 17.5
Green F 88-41 .466 20-12 .600 60 7.8 94 11.8
Bruce C 43-22 .512 33-24 .727 57 5.2 70 6.4
Baumgartner F 45-24 .533 20-12 .600 32 3.0 60 5.5
Reynolds F 50-24 .480 13-7 .538 47 4.3 55 5.0
Kauffman G 42-13 .250 35-15 .429 29 2.6 41 3.7
Christensen G 38-8 .211 34-22 .647 29 2.6 38 3.5
Brubaker C 23-11 .478 6-5 .833 27 3.8 27 3.8
Nikkei G 12-6 .500 4-4 1.000 12 1.2 16 1.6
Taron C 20-8 .400 0-0 .000 16 1.9 16 1.9
Warner G 10-3 .300 12-8 .667 4 0.5 14 1.7
Green F 6-1 .167 2-2 1.000 2 0.4 3 0.6
Green G 2-0 .000 0-0 .000 1 0.2 0 0.0
Fletcher F 2-0 .000 0-0 .000 2 0.3 0 0.0
TOTALS 760-329 .433 300-196 .653 513 46.6 855 77.7
