# IM Basketball Scores
## 
### 
Durand 41, Cardenal 23
Forthoffer 5 49, Hot Nuts 32
Cedro 46, Madera 43
Ruthettes 44, Black Knights 35
Heckyell's Boys 54, Step 29
Phi Kap B 41, Alpha Sig B 27
Incompetents 47, Annihilators 25
Med 111 35, EESA 13
Shrinks 39, Math 38
Sig Chi B 39, Du B 33
Biz I 76, Comp Sci 22
Cedro 35, Arroyo 27
Junipero 55, DEKE 27
Hulks 45, Roble 36
Zetes 49, Phi Kap 21
Palo ma 35, Loro 30
KA 67, Alpha Sig 42

Chem E's 51, Civil Eng 12
ATO 45, Beta Chi 27
Donner 59, Soto 28'
Nickel Bag 63, Spacers 22
Crickets 52, Spoiler 29
Junipero B 38, Paloma B 10
Twain 39, Hoskins 36
SAE 43, DU 17
Theta Delt 75, Phi Sig 19
Hogwash 62, Panthers 43
Theta Delt B 64, Kappa Sib B 30
Biz II 61, EESA 17
Cardenal 38, Branner 21
Rooters 52, Serra 31
Med II B 21, ENGr B 18
Heckyell's Boys 59, Black Knights 28
Burbank 47, Lagunita 34

Zap 41, Theta Chi 29
Engineers 53, Med 111 18
KA B 88, Theta Chi B 16
Phi Delt B 51, Zete 842
Incompetents 31, Omegas 27
Ruthettes 53, Little Leland's 20
Larkin 51, Grove 4
Gavilan 34, Muir 33
Forthoffer 5 54, Transfer House 42
Kappa Sig 40, Delts 31
Bad Omen 41, Math 33
Hot Nuts 36, Columbae 19
Va Ya 51, Supreme 7 28
Arcos 37, Step 36
High St. 33, Grads 30
Z 108, Holy Cow 14
Biz II B 48, Med I 34


WHO WANTS IT—Forward Wade Killefer looks for someone to pass off to in action earlier this season
The ruggers ran past Piedmont 12-6 last weekend, but face the rugged BATS Rugby Club this Saturday
