# STANFORD STATISTICS
## 
### 
(11 Games)
PLAYER FGM-FGA PCT. REB. AVG. PTS. AVG.
Kelley 70-147 47.6 151 13.7 176 16.0
Mann 57-119 47.9 72 6.5 129 11.7
Frost 54-125 43.2 45 4.1 121 11.0
Buell 31-82 37.8 58 5.3 87 7.9
Arterberry 29-71 40.8 40 3.6 71 6.5
Gilberg 21-62 33.9 22 2.0 48 4.4
Shupe 23-53 43.4 46 4.2 48 4.4
Patterson 20-41 48.8 32 3.6 40 4.4
Trobbe 9-25 36.0 12 1.2 27 2.7
Montague 3-5 60.0 3 0.8 8 2.0
Dean 3-9 33.3 2 0.5 7 1.8
Rusco 7-25 28.0 11 1.1 16 1.6
Schweitzer 0-1 00.0 1 0.5 0 0.0
