# Basketball Statistics
## 
### 
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB. AVG.
KELLEY 99-200 49.5 50-73 68.5 190 16.5
FROST 76-176 43.2 17-24 70.8 63 11.3
MANN 60-134 44.8 19-29 65.5 76 9.3
PATTERSON 45-82 54.9 10-15 66.7 54 7.7
ARTERBERRV 41-96 42.7 21-40 52.5 58 6.9
BUELL 36-95 37.9 30-36 83.3 62 6.8
GILBERG 31-82 37.8 9-14 64.3 26 4.9
SHUPE 30-64 46.9 2-11 18.2 54 4.1
TROBBE 14-39 35.9 1 3-19 68.4 21 2.9
MONTAGUE 5-7 71.4 2-3 66.7 3 2.0
RUSCO 7-25 28.0 2-3 66.7 11 1.5
DEAN 3-9 33.3 1-8 12.5 3 1.4
