# BASKETBALL STATISTICS
## 
### 
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
Gilberg 41-109 37.6 11-18 61.1 34 95 5.3
Shupe 31-66 47.0 3-14 21.4 56 65 3.6
Trobbe 20-51 39.2 13-20 65.0 27 53 3.1
Montague 6-9 66.7 2-3 66.7 3 14 2.0
Rusco 8-27 29.6 2-3 66.7 12 18 1.5
Dean 3-9 33.3 1-8 12.5 3 7 1.4
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
Gilberg 41-109 37.6 11-18 61.1 34 95 5.3
Shupe 31-66 47.0 3-14 21.4 56 65 3.6
Trobbe 20-51 39.2 13-20 65.0 27 53 3.1
Montague 6-9 66.7 2-3 66.7 3 14 2.0
Rusco 8-27 29.6 2-3 66.7 12 18 1.5
Dean 3-9 33.3 1-8 12.5 3 7 1.4
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
Gilberg 41-109 37.6 11-18 61.1 34 95 5.3
Shupe 31-66 47.0 3-14 21.4 56 65 3.6
Trobbe 20-51 39.2 13-20 65.0 27 53 3.1
Montague 6-9 66.7 2-3 66.7 3 14 2.0
Rusco 8-27 29.6 2-3 66.7 12 18 1.5
Dean 3-9 33.3 1-8 12.5 3 7 1.4
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
Gilberg 41-109 37.6 11-18 61.1 34 95 5.3
Shupe 31-66 47.0 3-14 21.4 56 65 3.6
Trobbe 20-51 39.2 13-20 65.0 27 53 3.1
Montague 6-9 66.7 2-3 66.7 3 14 2.0
Rusco 8-27 29.6 2-3 66.7 12 18 1.5
Dean 3-9 33.3 1-8 12.5 3 7 1.4
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
Gilberg 41-109 37.6 11-18 61.1 34 95 5.3
Shupe 31-66 47.0 3-14 21.4 56 65 3.6
Trobbe 20-51 39.2 13-20 65.0 27 53 3.1
Montague 6-9 66.7 2-3 66.7 3 14 2.0
Rusco 8-27 29.6 2-3 66.7 12 18 1.5
Dean 3-9 33.3 1-8 12.5 3 7 1.4
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
Gilberg 41-109 37.6 11-18 61.1 34 95 5.3
Shupe 31-66 47.0 3-14 21.4 56 65 3.6
Trobbe 20-51 39.2 13-20 65.0 27 53 3.1
Montague 6-9 66.7 2-3 66.7 3 14 2.0
Rusco 8-27 29.6 2-3 66.7 12 18 1.5
Dean 3-9 33.3 1-8 12.5 3 7 1.4
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
Gilberg 41-109 37.6 11-18 61.1 34 95 5.3
Shupe 31-66 47.0 3-14 21.4 56 65 3.6
Trobbe 20-51 39.2 13-20 65.0 27 53 3.1
Montague 6-9 66.7 2-3 66.7 3 14 2.0
Rusco 8-27 29.6 2-3 66.7 12 18 1.5
Dean 3-9 33.3 1-8 12.5 3 7 1.4
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
Gilberg 41-109 37.6 11-18 61.1 34 95 5.3
Shupe 31-66 47.0 3-14 21.4 56 65 3.6
Trobbe 20-51 39.2 13-20 65.0 27 53 3.1
Montague 6-9 66.7 2-3 66.7 3 14 2.0
Rusco 8-27 29.6 2-3 66.7 12 18 1.5
Dean 3-9 33.3 1-8 12.5 3 7 1.4
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
Gilberg 41-109 37.6 11-18 61.1 34 95 5.3
Shupe 31-66 47.0 3-14 21.4 56 65 3.6
Trobbe 20-51 39.2 13-20 65.0 27 53 3.1
Montague 6-9 66.7 2-3 66.7 3 14 2.0
Rusco 8-27 29.6 2-3 66.7 12 18 1.5
Dean 3-9 33.3 1-8 12.5 3 7 1.4
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
Gilberg 41-109 37.6 11-18 61.1 34 95 5.3
Shupe 31-66 47.0 3-14 21.4 56 65 3.6
Trobbe 20-51 39.2 13-20 65.0 27 53 3.1
Montague 6-9 66.7 2-3 66.7 3 14 2.0
Rusco 8-27 29.6 2-3 66.7 12 18 1.5
Dean 3-9 33.3 1-8 12.5 3 7 1.4
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
Gilberg 41-109 37.6 11-18 61.1 34 95 5.3
Shupe 31-66 47.0 3-14 21.4 56 65 3.6
Trobbe 20-51 39.2 13-20 65.0 27 53 3.1
Montague 6-9 66.7 2-3 66.7 3 14 2.0
Rusco 8-27 29.6 2-3 66.7 12 18 1.5
Dean 3-9 33.3 1-8 12.5 3 7 1.4
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB PTS. AVG.
Kelley 123-237 51.9 63-91 69.2 231 309 17.2
Frost 80-193 41.5 18-27 66.7 69 178 9.9.
Mann 69-153 45.1 21-32 65.6 91 159 8.8
Buell 48-114 42.1 37-46 80.4 72 133 7.4
Patterson 53-99 53.5 12-17 70.6 67 118 7.4
Arterberry 48-119 40.3 24-46 52.2 63 120 6.7
