# BASKETBALL STATISTICS
## 
### 
PLAYER FGM-FGA PCT. FTM-FTA PCT. REB. PTS. AVG
KELLEY 154-289 53.3 81-115 70.4 292 389 17.7
MANN 87-182 47.8 24-41 58.5 122 198 9.0
FROST 89-226 39.4 18-28 64.3 80 196 8.9
ARTERBERRY 60-146 41.1 32-59 54.2 75 152 6.9
BUELL 55-130 42.3 41-54 75.9 84 151 6.9
PATTERSON 59-114 51.8 15-21 71.4 76 133 6.7
GILBERG 53-139 38.1 23-32 71.9 40 131 6.0
TROBBE 32-76 42.1 15-24 62.5 39 79 3.8
SHUPE 35-73 47.9 3-14 21.4 62 73 3.3
MONTAGUE 9-16 56.3 5-8 62.5 6 23 2.3
RUSCO 9-29 31.0 4-5 80.0 13 22 1.5
DEAN 3-9 33.3 1-9 11.1 3 7 1.2
