# TEAM LEADERS
## 
### 
Stanford 877
San Jose State 892
USC 893
Cal State-Northridge 897
San Diego State 910
UC-Rlverslde 914
Seattle 918
UCLA 918
UC-lrvine 922
Cal State-Hayward 922
College Division
San Jose City 912
Menlo 926
West Valley 950
Individual Leaders
Dave Baskins, Stan. ..73-71-70 — 214
F.rlc Batten, SJS 69-78-70 — 217
Jeff Harrier, CSN 73-72-73 — 218
Glenn Goethels, Stan. 74-75-71 — 220
Craig Stadler, USC . . . 72-73-75 — 220
Aly Trompas, Stan. .. 73-77-71 — 221
Conrad Nllmeier, Stan. 80-68-74 — 222
Armondo Claudlo, SJC 72-72-78 — 222
Jim Ruzlecki, USC . . . 77-72-73 — 222
Mark Lye, SJS 74-77-71 — 222
Greg Martin, Foothill . 78-71-73 — 222
Dan Poullot, CSN ...76-70-77 — 223
Steve Van Herpe, CSN 72-76-76 — 224
Ken Riley, UCR 72-76-76 — 224
Jim Porter, UCLA . . . 76-71-77 — 224
George Pettlnger, Stan. 76-73-76 — 225
Jim Jones, SDS 76-76-73 — 225
Steve Gaddis, CSH . . . 78-73-74 — 225
Terry Beardsley, SJS . 76-76-73 — 225
Mark Pfell, USC 69-76-80 — 225
