# UCLA Bruins
## 
### 
NO. NAME POS. HT. WT. CLASS „ Mjke Herrera c 245 Fr .
1 Severn Reece FL 6-0 175 Soph. 55 Willy Beamon IL 6-3 220 Soph.
2 Harold Hardin LC 6-0 173 Jr. 56 Terry Tautolo IL 6-1 224 Sr.
3 James Owens FL 5-11 165 Fr. 57 Keith Eck RG 6-4 231 Jr.
4 James Sarpy SE 6-1 176 Soph. 59 Pete Pele LT 6-4 265 Soph.
6 John Sullivan P 5-10 193 Jr. 60 Bryce Adkins RG 6-2 235 Jr.
7 Rick Walker TE 6-4 224 Jr. 62 Mitch Kahn C 6-3 225 Jr.
8 Wally Henry FL 5-8 167 Jr. 63 Brad Vassar IL 6-2 220 Fr.
12 Jim Freitas QB 6-1 180 Fr. 64 Dave Morton NG 6-3 240 Jr.
15 JohnSciarra QB 5-10 178 Sr. 65 Ken Walker OL 6-2 200 Fr.
19 Jeff Dankworth QB 6-0 198 Jr. 66 Jim Williams RG 6-3 238 Sr.
20 Perry Nichols SE 6-1 188 Jr. 68 Tim Tennigkeit LT 6-4 245 Jr.
21 Oscar Edwards RC 6-0 181 Jr. 69 Ron Wollard C 6-2 230 Fr.
22 Wendell Tyler LH 5-10 184 Jr. 70 Gus Coppens LT 6-7 269 Soph.
23 John Lynn LC 6-0 178 Fr. 71 Bruce Davis LT 6-6 260 Fr.
25 Wilbur Harden LC 6-1 185 Jr. 72 Brent Boyd RT 6-3 236 Fr.
26 Carl Zaby LH 5-9 192 Sr. 73 Phil McKinnely LG 6-6 260 Sr.
28 Mike Coulter S 60 175 Soph. 74 Bob Reyes LT 6-5 252 Sr.
29 Barney Person RC 6-2 181 Sr. 75 Jack DeMartinis RT 6-4 273 Sr.
30 Eddie Ayers LH 5-10 185 Sr. 76 Cliff Frazier NG 6-5 254 Sr.
31 Kenny Lee RH 6-2 202 Jr. 78 Rob Kezirian RT 6-4 245 Jr.
32 Levi Armstrong LC 6-1 185 Soph. 79 Greg Taylor LG 6-3 230 Jr.
33 Jim Brown LH 6-2 207 Jr. 81 Jeff Murro IL 6-2 209 Soph.
34 Bret White PK-P 6-1 219 Sr. 83 Dale Curry OLB 6-2 216 Sr.
35 Matt Fahl S 6-2 195 Sr. 84 Jerry Robinson SE 6-3 215 Fr.
36 Anthony Pao Pao RH 5-10 210 Fr. 85 Don Pederson TE 6-3 226 Soph.
39 Mike Boyd LH 5-10 180 Jr. 86 Raymond Bell IL 6-3 215 Soph.
40 Manu Tuiasosopo IL 6-3 233 Fr. 87 Raymond Burks OLB 6-2 205 Jr.
41 Frank Stephens OL 6-2 180 Soph. 88 Pat Schmidt S 6-2 179 Soph.
42 Jeff Smith S 6-0 180 Sr. 89 Norm Anderson SE 6-2 167 Sr.
50 Bill Baggott IL 6-4 228 Sr. 90 Bob Crawford RC 6-4 226 Jr.
51 Randy Cross RG 6-4 246 Sr. 92 John Fowler OLB 6-4 225 Soph.
52 Steve Tetrick NG 5-11 210 Soph. 94 Kent Brisbin TE 6-3 220 Soph.
