# Oregon Ducks
## 
### 
NO. NAME POS. HT. WT. CLASS
1 Stan Woodfill PK 6-2 190 Jr.
3 Tommy Garrett RB 6-0 195 Sr.
4 Reggie Grant RC 5-9 182 So.
7 Darrell Mellum FS 5-11 187 Jr.
10 John Nehl QB/P 6-0 187 Sr.
12 Chuck Wills FS 6-2 196 Sr.
13 Jack Henderson WB 6-1 190 Soph.
19 Brian Rekofke SS 6-3 200 Soph.
20 Wayne Johnson FL 5-11 178 Sr.
21 Jo Jo White SE 6-0 180 Jr.
24 Greg Bauer SE 5-9 179 Jr.
28 Levoy Wilkerson RB 6-0 195 Sr.
29 Mario Clark LC 6-2 188 Sr.
30 Mike Chriss LC 6-1 201 Soph.
33 Darrell Mehl WLB 5-11 224 Jr.
35 George Bennett RB 6-1 219 Jr.
38 Jim Churchill RC 5-8 168 Soph.
42 Kim Nutting SLB 6-1 210 Soph.
44 Rich Clough RB 6-2 195 Fr.
47 Bruce Jensen SS 6-3 193 Soph.
48 Mark Cramer WLB 6-0 221 Soph.
49 Henry Parks P 6-1 190 Jr.

51 Fred Quillan C 6-5 222 Soph.
54 Fred Lackaff C 6-1 227 Sr.
55 Tim Overall SG 6-0 251 Soph.
56 Dean Singleton T 6-5 250 Fr.
58 Tom Yaru SLB 6-2 232 Sr.
63 Chuck Thomas TG 6-0 227 Sr.
64 Les Duman TG 6-1 238 Soph.
66 Larry Ermini SG 6-3 230 Jr.
67 Jim Hudson ST 6-3 235 Jr.
69 Gunnar Scholer MLB 6-1 218 Soph.
70 Rob Plath RT 6-1 233 Soph.
71 Ron Hunt ST 6-6 260 Sr,
72 R Jul Martinez TT 6-0 251 Jr.
80 Greg Gibson LT 6-2 238 Sr.
81 Jeff Butss TE 6-6 230 Jr. -
83 Kevin Culligan TE 6-4 211 Sr.
86 Tim McJunkin LE 6-0 220 Sr.
88 Don Johnson LE 5-11 203 Sr.
90 John Reid RE 6-1 216 Jr.
93 Mel Cook RE 6-4 204 Soph.
94 Dave Morgan RT 6-3 230 Sr.
95 Tim Leighton LT 6-1 234 Sr.
96 Rod Rickert MLB 6-2 217 Jr.
