# Pac-8 standings
## 
### 
Conf. Season
WLT W L T
USC 10 0 3 10
UCLA 0 0 0 3 0 1
Cal 0 0 0 2 2 0
Washington 0 0 0 2 2 0
Stanford 0 0 0 1 3 0
Wash. St. 0 0 0 1 3 0
Oregon St. 0 0 0 0 4 0
Oregon 0 10 3 10
Saturday
Army 21, Stanford 20
USC 55, lowa 0
UCLA 10, Ohio St. 10
California 43, San Jose St. 16
Washington 30, Minnesota 7
Oregon 27, Utah St. 9
Washington St. 45, Idaho 6
Syracuse 21, Oregon St. 3
Michigan 31, Wake Forest 0
Kentucky 22, Penn St. 6
Nebraska 17, Miami (Fla.) 9
Oklahoma 24, lowa St. 10
Notre Dame 24, Michigan St. 6
Tennessee 21, Clemson 19
Pittsburgh 44, Duke 31
