# California Bears
## 
### 
NO. NAME POS. HT. WT. CLASS
3 Jim Breech PK 5-7 165 Jr.
6 MikeOßrien DB 6-0 190 Jr.
8 Greg Cummins P 6-2 175 Fr.
10 Matt Bouza DB 6;2 175 Fr.
11 Fred Besana QB 6-4 200 Sr.
12 Joe Roth QB 6-4 205 Sr.
14 Eric Anderson QB 6-4 200 Soph.
15 James Hughes DB 6-0 190 Jr.
16 Jeff Moye DB 5-11 175 Jr.
17 Gary Graumann QB 5-10 175 Jr
18 Holden Smith WR 6-2 190 Fr
20 Kevin Dakis DB 6-0 185 Soph.
21 Jesse Thompson WR 6-2 180 Jr.
22 Darnell Chapman DB 6-1 180 Fr
24 Oliver Hillmon RB 5-10 190 Soph
27 Ron Coccimiglio DB 6-1 180 Fr.
28 Leon Washington WR 6-3 165 Sr.
29 Steve Maehl DB 6-4 200 Sr.
30 Vern Smith DB 6-0 195 Sr
31 Anthony Green DB 6-1 185 Jr.
32 Ken McAllister DB 5-10 180 Jr.
33 Tom Newton RB 6-1 205 Sr.
36 Russ Dement FB 5-11 200 Jr.
37 Burl Toler DE 6-1 190 Jr.
38 Greg Bracelin DB 6-2 195 So
39 Markey Crane RB 5-11 200 Soph
41 Greg Ricks DE 6-2 200 Sr.
42 John Williams RB 6-0 205 Jr
43 Syd Lofton DB 6-2 180 Sr.
44 John Dixon RB 5-10 210 Sr.
45 James Meyersieck DB 5-7 150 So
46 Paul Jones RB 6-2 230 Soph.
47 Wade Johnson DB 5-9 170 Jr.
49 Pat Turner LB 6-3 210 Fr.
50 Kirk Karacozoff LB 6-2 220 Fr.

NO. NAME POS. HT. WT. CLASS
52 PeteSitta LB 5-10 210 Sr.
53 Larry Grady DE 6-2 205 Sr.
54 Rick Purnell C 6-4 235 Jr.
55 James Reed LB 6-1 215 Sr.
57 John McMahon LB 6-4 205 So.
59 Vic Henderson LB 6-2 210 Jr.
60 Jim Brazil C 6-1 230 Jr.
61 Ned Vessey OG 6-2 245 Jr.
64 Glen Roycott OG 6-3 245 Jr.
65 Bob Meredith DT 6-3 235 Jr.
66 John Harris LB 6-0 210 Jr.
68 Greg Peters OG 6-5 250 Sr.
70 David Newberry OG 6-2 240 Jr.
71 Duane Williams C 6-1 245 Sr.
73 Leo Biedermann OT 6-8 255 Jr.
74 Bob Smiland OT 6-6 235 Jr.
75 Duke Leffler OT 6-4 250 Jr.
76 Dave Leßeotif OG 6-3 220 Sr.
77 Jack Clark DT 6-4 240 Jr.
78 James Wilkes DT 6-5 210 Fr.
79 Ted Albrecht OT 6-4 250 Sr.
82 Stan Glenn DE 6-0 210 Jr.
83 George Freitas TE 6-3 220 Jr.
84 Ed Gillies WR 5-10 170 Jr.
85 Bob Warner NG 6-0 215 Sr.
86 Charlie Yauman TE 6-3 215 Jr.
87 Jeff Spitz TE 6-1 190 Fr.
88 Phil Heck LB 6-3 230 Sr.
90 Don Alaman LB 6-0 220 Jr.
91 Sam Best DT 6-2 225 Sr.
92 Craig Watkins DT 6-5 240 Soph.
95 Charles Hatch WR 6-3 180 Jr.
97 George Barbie DT 6-2 215 Jr.
98 Don Moore TE 6-4 225 Fr.
99 Wesley Walker WR 6-1 175 Sr.
NO. NAME POS. HT. WT. CLASS
3 Jim Breech PK 5-7 165 Jr.
6 MikeOßrien DB 6-0 190 Jr.
8 Greg Cummins P 6-2 175 Fr.
10 Matt Bouza DB 6;2 175 Fr.
11 Fred Besana QB 6-4 200 Sr.
12 Joe Roth QB 6-4 205 Sr.
14 Eric Anderson QB 6-4 200 Soph.
15 James Hughes DB 6-0 190 Jr.
16 Jeff Moye DB 5-11 175 Jr.
17 Gary Graumann QB 5-10 175 Jr
18 Holden Smith WR 6-2 190 Fr
20 Kevin Dakis DB 6-0 185 Soph.
21 Jesse Thompson WR 6-2 180 Jr.
22 Darnell Chapman DB 6-1 180 Fr
24 Oliver Hillmon RB 5-10 190 Soph
27 Ron Coccimiglio DB 6-1 180 Fr.
28 Leon Washington WR 6-3 165 Sr.
29 Steve Maehl DB 6-4 200 Sr.
30 Vern Smith DB 6-0 195 Sr
31 Anthony Green DB 6-1 185 Jr.
32 Ken McAllister DB 5-10 180 Jr.
33 Tom Newton RB 6-1 205 Sr.
36 Russ Dement FB 5-11 200 Jr.
37 Burl Toler DE 6-1 190 Jr.
38 Greg Bracelin DB 6-2 195 So
39 Markey Crane RB 5-11 200 Soph
41 Greg Ricks DE 6-2 200 Sr.
42 John Williams RB 6-0 205 Jr
43 Syd Lofton DB 6-2 180 Sr.
44 John Dixon RB 5-10 210 Sr.
45 James Meyersieck DB 5-7 150 So
46 Paul Jones RB 6-2 230 Soph.
47 Wade Johnson DB 5-9 170 Jr.
49 Pat Turner LB 6-3 210 Fr.
50 Kirk Karacozoff LB 6-2 220 Fr.

NO. NAME POS. HT. WT. CLASS
52 PeteSitta LB 5-10 210 Sr.
53 Larry Grady DE 6-2 205 Sr.
54 Rick Purnell C 6-4 235 Jr.
55 James Reed LB 6-1 215 Sr.
57 John McMahon LB 6-4 205 So.
59 Vic Henderson LB 6-2 210 Jr.
60 Jim Brazil C 6-1 230 Jr.
61 Ned Vessey OG 6-2 245 Jr.
64 Glen Roycott OG 6-3 245 Jr.
65 Bob Meredith DT 6-3 235 Jr.
66 John Harris LB 6-0 210 Jr.
68 Greg Peters OG 6-5 250 Sr.
70 David Newberry OG 6-2 240 Jr.
71 Duane Williams C 6-1 245 Sr.
73 Leo Biedermann OT 6-8 255 Jr.
74 Bob Smiland OT 6-6 235 Jr.
75 Duke Leffler OT 6-4 250 Jr.
76 Dave Leßeotif OG 6-3 220 Sr.
77 Jack Clark DT 6-4 240 Jr.
78 James Wilkes DT 6-5 210 Fr.
79 Ted Albrecht OT 6-4 250 Sr.
82 Stan Glenn DE 6-0 210 Jr.
83 George Freitas TE 6-3 220 Jr.
84 Ed Gillies WR 5-10 170 Jr.
85 Bob Warner NG 6-0 215 Sr.
86 Charlie Yauman TE 6-3 215 Jr.
87 Jeff Spitz TE 6-1 190 Fr.
88 Phil Heck LB 6-3 230 Sr.
90 Don Alaman LB 6-0 220 Jr.
91 Sam Best DT 6-2 225 Sr.
92 Craig Watkins DT 6-5 240 Soph.
95 Charles Hatch WR 6-3 180 Jr.
97 George Barbie DT 6-2 215 Jr.
98 Don Moore TE 6-4 225 Fr.
99 Wesley Walker WR 6-1 175 Sr.
NO. NAME POS. HT. WT. CLASS
3 Jim Breech PK 5-7 165 Jr.
6 MikeOßrien DB 6-0 190 Jr.
8 Greg Cummins P 6-2 175 Fr.
10 Matt Bouza DB 6;2 175 Fr.
11 Fred Besana QB 6-4 200 Sr.
12 Joe Roth QB 6-4 205 Sr.
14 Eric Anderson QB 6-4 200 Soph.
15 James Hughes DB 6-0 190 Jr.
16 Jeff Moye DB 5-11 175 Jr.
17 Gary Graumann QB 5-10 175 Jr
18 Holden Smith WR 6-2 190 Fr
20 Kevin Dakis DB 6-0 185 Soph.
21 Jesse Thompson WR 6-2 180 Jr.
22 Darnell Chapman DB 6-1 180 Fr
24 Oliver Hillmon RB 5-10 190 Soph
27 Ron Coccimiglio DB 6-1 180 Fr.
28 Leon Washington WR 6-3 165 Sr.
29 Steve Maehl DB 6-4 200 Sr.
30 Vern Smith DB 6-0 195 Sr
31 Anthony Green DB 6-1 185 Jr.
32 Ken McAllister DB 5-10 180 Jr.
33 Tom Newton RB 6-1 205 Sr.
36 Russ Dement FB 5-11 200 Jr.
37 Burl Toler DE 6-1 190 Jr.
38 Greg Bracelin DB 6-2 195 So
39 Markey Crane RB 5-11 200 Soph
41 Greg Ricks DE 6-2 200 Sr.
42 John Williams RB 6-0 205 Jr
43 Syd Lofton DB 6-2 180 Sr.
44 John Dixon RB 5-10 210 Sr.
45 James Meyersieck DB 5-7 150 So
46 Paul Jones RB 6-2 230 Soph.
47 Wade Johnson DB 5-9 170 Jr.
49 Pat Turner LB 6-3 210 Fr.
50 Kirk Karacozoff LB 6-2 220 Fr.

NO. NAME POS. HT. WT. CLASS
52 PeteSitta LB 5-10 210 Sr.
53 Larry Grady DE 6-2 205 Sr.
54 Rick Purnell C 6-4 235 Jr.
55 James Reed LB 6-1 215 Sr.
57 John McMahon LB 6-4 205 So.
59 Vic Henderson LB 6-2 210 Jr.
60 Jim Brazil C 6-1 230 Jr.
61 Ned Vessey OG 6-2 245 Jr.
64 Glen Roycott OG 6-3 245 Jr.
65 Bob Meredith DT 6-3 235 Jr.
66 John Harris LB 6-0 210 Jr.
68 Greg Peters OG 6-5 250 Sr.
70 David Newberry OG 6-2 240 Jr.
71 Duane Williams C 6-1 245 Sr.
73 Leo Biedermann OT 6-8 255 Jr.
74 Bob Smiland OT 6-6 235 Jr.
75 Duke Leffler OT 6-4 250 Jr.
76 Dave Leßeotif OG 6-3 220 Sr.
77 Jack Clark DT 6-4 240 Jr.
78 James Wilkes DT 6-5 210 Fr.
79 Ted Albrecht OT 6-4 250 Sr.
82 Stan Glenn DE 6-0 210 Jr.
83 George Freitas TE 6-3 220 Jr.
84 Ed Gillies WR 5-10 170 Jr.
85 Bob Warner NG 6-0 215 Sr.
86 Charlie Yauman TE 6-3 215 Jr.
87 Jeff Spitz TE 6-1 190 Fr.
88 Phil Heck LB 6-3 230 Sr.
90 Don Alaman LB 6-0 220 Jr.
91 Sam Best DT 6-2 225 Sr.
92 Craig Watkins DT 6-5 240 Soph.
95 Charles Hatch WR 6-3 180 Jr.
97 George Barbie DT 6-2 215 Jr.
98 Don Moore TE 6-4 225 Fr.
99 Wesley Walker WR 6-1 175 Sr.
NO. NAME POS. HT. WT. CLASS
3 Jim Breech PK 5-7 165 Jr.
6 MikeOßrien DB 6-0 190 Jr.
8 Greg Cummins P 6-2 175 Fr.
10 Matt Bouza DB 6;2 175 Fr.
11 Fred Besana QB 6-4 200 Sr.
12 Joe Roth QB 6-4 205 Sr.
14 Eric Anderson QB 6-4 200 Soph.
15 James Hughes DB 6-0 190 Jr.
16 Jeff Moye DB 5-11 175 Jr.
17 Gary Graumann QB 5-10 175 Jr
18 Holden Smith WR 6-2 190 Fr
20 Kevin Dakis DB 6-0 185 Soph.
21 Jesse Thompson WR 6-2 180 Jr.
22 Darnell Chapman DB 6-1 180 Fr
24 Oliver Hillmon RB 5-10 190 Soph
27 Ron Coccimiglio DB 6-1 180 Fr.
28 Leon Washington WR 6-3 165 Sr.
29 Steve Maehl DB 6-4 200 Sr.
30 Vern Smith DB 6-0 195 Sr
31 Anthony Green DB 6-1 185 Jr.
32 Ken McAllister DB 5-10 180 Jr.
33 Tom Newton RB 6-1 205 Sr.
36 Russ Dement FB 5-11 200 Jr.
37 Burl Toler DE 6-1 190 Jr.
38 Greg Bracelin DB 6-2 195 So
39 Markey Crane RB 5-11 200 Soph
41 Greg Ricks DE 6-2 200 Sr.
42 John Williams RB 6-0 205 Jr
43 Syd Lofton DB 6-2 180 Sr.
44 John Dixon RB 5-10 210 Sr.
45 James Meyersieck DB 5-7 150 So
46 Paul Jones RB 6-2 230 Soph.
47 Wade Johnson DB 5-9 170 Jr.
49 Pat Turner LB 6-3 210 Fr.
50 Kirk Karacozoff LB 6-2 220 Fr.

NO. NAME POS. HT. WT. CLASS
52 PeteSitta LB 5-10 210 Sr.
53 Larry Grady DE 6-2 205 Sr.
54 Rick Purnell C 6-4 235 Jr.
55 James Reed LB 6-1 215 Sr.
57 John McMahon LB 6-4 205 So.
59 Vic Henderson LB 6-2 210 Jr.
60 Jim Brazil C 6-1 230 Jr.
61 Ned Vessey OG 6-2 245 Jr.
64 Glen Roycott OG 6-3 245 Jr.
65 Bob Meredith DT 6-3 235 Jr.
66 John Harris LB 6-0 210 Jr.
68 Greg Peters OG 6-5 250 Sr.
70 David Newberry OG 6-2 240 Jr.
71 Duane Williams C 6-1 245 Sr.
73 Leo Biedermann OT 6-8 255 Jr.
74 Bob Smiland OT 6-6 235 Jr.
75 Duke Leffler OT 6-4 250 Jr.
76 Dave Leßeotif OG 6-3 220 Sr.
77 Jack Clark DT 6-4 240 Jr.
78 James Wilkes DT 6-5 210 Fr.
79 Ted Albrecht OT 6-4 250 Sr.
82 Stan Glenn DE 6-0 210 Jr.
83 George Freitas TE 6-3 220 Jr.
84 Ed Gillies WR 5-10 170 Jr.
85 Bob Warner NG 6-0 215 Sr.
86 Charlie Yauman TE 6-3 215 Jr.
87 Jeff Spitz TE 6-1 190 Fr.
88 Phil Heck LB 6-3 230 Sr.
90 Don Alaman LB 6-0 220 Jr.
91 Sam Best DT 6-2 225 Sr.
92 Craig Watkins DT 6-5 240 Soph.
95 Charles Hatch WR 6-3 180 Jr.
97 George Barbie DT 6-2 215 Jr.
98 Don Moore TE 6-4 225 Fr.
99 Wesley Walker WR 6-1 175 Sr.
NO. NAME POS. HT. WT. CLASS
3 Jim Breech PK 5-7 165 Jr.
6 MikeOßrien DB 6-0 190 Jr.
8 Greg Cummins P 6-2 175 Fr.
10 Matt Bouza DB 6;2 175 Fr.
11 Fred Besana QB 6-4 200 Sr.
12 Joe Roth QB 6-4 205 Sr.
14 Eric Anderson QB 6-4 200 Soph.
15 James Hughes DB 6-0 190 Jr.
16 Jeff Moye DB 5-11 175 Jr.
17 Gary Graumann QB 5-10 175 Jr
18 Holden Smith WR 6-2 190 Fr
20 Kevin Dakis DB 6-0 185 Soph.
21 Jesse Thompson WR 6-2 180 Jr.
22 Darnell Chapman DB 6-1 180 Fr
24 Oliver Hillmon RB 5-10 190 Soph
27 Ron Coccimiglio DB 6-1 180 Fr.
28 Leon Washington WR 6-3 165 Sr.
29 Steve Maehl DB 6-4 200 Sr.
30 Vern Smith DB 6-0 195 Sr
31 Anthony Green DB 6-1 185 Jr.
32 Ken McAllister DB 5-10 180 Jr.
33 Tom Newton RB 6-1 205 Sr.
36 Russ Dement FB 5-11 200 Jr.
37 Burl Toler DE 6-1 190 Jr.
38 Greg Bracelin DB 6-2 195 So
39 Markey Crane RB 5-11 200 Soph
41 Greg Ricks DE 6-2 200 Sr.
42 John Williams RB 6-0 205 Jr
43 Syd Lofton DB 6-2 180 Sr.
44 John Dixon RB 5-10 210 Sr.
45 James Meyersieck DB 5-7 150 So
46 Paul Jones RB 6-2 230 Soph.
47 Wade Johnson DB 5-9 170 Jr.
49 Pat Turner LB 6-3 210 Fr.
50 Kirk Karacozoff LB 6-2 220 Fr.

NO. NAME POS. HT. WT. CLASS
52 PeteSitta LB 5-10 210 Sr.
53 Larry Grady DE 6-2 205 Sr.
54 Rick Purnell C 6-4 235 Jr.
55 James Reed LB 6-1 215 Sr.
57 John McMahon LB 6-4 205 So.
59 Vic Henderson LB 6-2 210 Jr.
60 Jim Brazil C 6-1 230 Jr.
61 Ned Vessey OG 6-2 245 Jr.
64 Glen Roycott OG 6-3 245 Jr.
65 Bob Meredith DT 6-3 235 Jr.
66 John Harris LB 6-0 210 Jr.
68 Greg Peters OG 6-5 250 Sr.
70 David Newberry OG 6-2 240 Jr.
71 Duane Williams C 6-1 245 Sr.
73 Leo Biedermann OT 6-8 255 Jr.
74 Bob Smiland OT 6-6 235 Jr.
75 Duke Leffler OT 6-4 250 Jr.
76 Dave Leßeotif OG 6-3 220 Sr.
77 Jack Clark DT 6-4 240 Jr.
78 James Wilkes DT 6-5 210 Fr.
79 Ted Albrecht OT 6-4 250 Sr.
82 Stan Glenn DE 6-0 210 Jr.
83 George Freitas TE 6-3 220 Jr.
84 Ed Gillies WR 5-10 170 Jr.
85 Bob Warner NG 6-0 215 Sr.
86 Charlie Yauman TE 6-3 215 Jr.
87 Jeff Spitz TE 6-1 190 Fr.
88 Phil Heck LB 6-3 230 Sr.
90 Don Alaman LB 6-0 220 Jr.
91 Sam Best DT 6-2 225 Sr.
92 Craig Watkins DT 6-5 240 Soph.
95 Charles Hatch WR 6-3 180 Jr.
97 George Barbie DT 6-2 215 Jr.
98 Don Moore TE 6-4 225 Fr.
99 Wesley Walker WR 6-1 175 Sr.
NO. NAME POS. HT. WT. CLASS
3 Jim Breech PK 5-7 165 Jr.
6 MikeOßrien DB 6-0 190 Jr.
8 Greg Cummins P 6-2 175 Fr.
10 Matt Bouza DB 6;2 175 Fr.
11 Fred Besana QB 6-4 200 Sr.
12 Joe Roth QB 6-4 205 Sr.
14 Eric Anderson QB 6-4 200 Soph.
15 James Hughes DB 6-0 190 Jr.
16 Jeff Moye DB 5-11 175 Jr.
17 Gary Graumann QB 5-10 175 Jr
18 Holden Smith WR 6-2 190 Fr
20 Kevin Dakis DB 6-0 185 Soph.
21 Jesse Thompson WR 6-2 180 Jr.
22 Darnell Chapman DB 6-1 180 Fr
24 Oliver Hillmon RB 5-10 190 Soph
27 Ron Coccimiglio DB 6-1 180 Fr.
28 Leon Washington WR 6-3 165 Sr.
29 Steve Maehl DB 6-4 200 Sr.
30 Vern Smith DB 6-0 195 Sr
31 Anthony Green DB 6-1 185 Jr.
32 Ken McAllister DB 5-10 180 Jr.
33 Tom Newton RB 6-1 205 Sr.
36 Russ Dement FB 5-11 200 Jr.
37 Burl Toler DE 6-1 190 Jr.
38 Greg Bracelin DB 6-2 195 So
39 Markey Crane RB 5-11 200 Soph
41 Greg Ricks DE 6-2 200 Sr.
42 John Williams RB 6-0 205 Jr
43 Syd Lofton DB 6-2 180 Sr.
44 John Dixon RB 5-10 210 Sr.
45 James Meyersieck DB 5-7 150 So
46 Paul Jones RB 6-2 230 Soph.
47 Wade Johnson DB 5-9 170 Jr.
49 Pat Turner LB 6-3 210 Fr.
50 Kirk Karacozoff LB 6-2 220 Fr.

NO. NAME POS. HT. WT. CLASS
52 PeteSitta LB 5-10 210 Sr.
53 Larry Grady DE 6-2 205 Sr.
54 Rick Purnell C 6-4 235 Jr.
55 James Reed LB 6-1 215 Sr.
57 John McMahon LB 6-4 205 So.
59 Vic Henderson LB 6-2 210 Jr.
60 Jim Brazil C 6-1 230 Jr.
61 Ned Vessey OG 6-2 245 Jr.
64 Glen Roycott OG 6-3 245 Jr.
65 Bob Meredith DT 6-3 235 Jr.
66 John Harris LB 6-0 210 Jr.
68 Greg Peters OG 6-5 250 Sr.
70 David Newberry OG 6-2 240 Jr.
71 Duane Williams C 6-1 245 Sr.
73 Leo Biedermann OT 6-8 255 Jr.
74 Bob Smiland OT 6-6 235 Jr.
75 Duke Leffler OT 6-4 250 Jr.
76 Dave Leßeotif OG 6-3 220 Sr.
77 Jack Clark DT 6-4 240 Jr.
78 James Wilkes DT 6-5 210 Fr.
79 Ted Albrecht OT 6-4 250 Sr.
82 Stan Glenn DE 6-0 210 Jr.
83 George Freitas TE 6-3 220 Jr.
84 Ed Gillies WR 5-10 170 Jr.
85 Bob Warner NG 6-0 215 Sr.
86 Charlie Yauman TE 6-3 215 Jr.
87 Jeff Spitz TE 6-1 190 Fr.
88 Phil Heck LB 6-3 230 Sr.
90 Don Alaman LB 6-0 220 Jr.
91 Sam Best DT 6-2 225 Sr.
92 Craig Watkins DT 6-5 240 Soph.
95 Charles Hatch WR 6-3 180 Jr.
97 George Barbie DT 6-2 215 Jr.
98 Don Moore TE 6-4 225 Fr.
99 Wesley Walker WR 6-1 175 Sr.
NO. NAME POS. HT. WT. CLASS
3 Jim Breech PK 5-7 165 Jr.
6 MikeOßrien DB 6-0 190 Jr.
8 Greg Cummins P 6-2 175 Fr.
10 Matt Bouza DB 6;2 175 Fr.
11 Fred Besana QB 6-4 200 Sr.
12 Joe Roth QB 6-4 205 Sr.
14 Eric Anderson QB 6-4 200 Soph.
15 James Hughes DB 6-0 190 Jr.
16 Jeff Moye DB 5-11 175 Jr.
17 Gary Graumann QB 5-10 175 Jr
18 Holden Smith WR 6-2 190 Fr
20 Kevin Dakis DB 6-0 185 Soph.
21 Jesse Thompson WR 6-2 180 Jr.
22 Darnell Chapman DB 6-1 180 Fr
24 Oliver Hillmon RB 5-10 190 Soph
27 Ron Coccimiglio DB 6-1 180 Fr.
28 Leon Washington WR 6-3 165 Sr.
29 Steve Maehl DB 6-4 200 Sr.
30 Vern Smith DB 6-0 195 Sr
31 Anthony Green DB 6-1 185 Jr.
32 Ken McAllister DB 5-10 180 Jr.
33 Tom Newton RB 6-1 205 Sr.
36 Russ Dement FB 5-11 200 Jr.
37 Burl Toler DE 6-1 190 Jr.
38 Greg Bracelin DB 6-2 195 So
39 Markey Crane RB 5-11 200 Soph
41 Greg Ricks DE 6-2 200 Sr.
42 John Williams RB 6-0 205 Jr
43 Syd Lofton DB 6-2 180 Sr.
44 John Dixon RB 5-10 210 Sr.
45 James Meyersieck DB 5-7 150 So
46 Paul Jones RB 6-2 230 Soph.
47 Wade Johnson DB 5-9 170 Jr.
49 Pat Turner LB 6-3 210 Fr.
50 Kirk Karacozoff LB 6-2 220 Fr.

NO. NAME POS. HT. WT. CLASS
52 PeteSitta LB 5-10 210 Sr.
53 Larry Grady DE 6-2 205 Sr.
54 Rick Purnell C 6-4 235 Jr.
55 James Reed LB 6-1 215 Sr.
57 John McMahon LB 6-4 205 So.
59 Vic Henderson LB 6-2 210 Jr.
60 Jim Brazil C 6-1 230 Jr.
61 Ned Vessey OG 6-2 245 Jr.
64 Glen Roycott OG 6-3 245 Jr.
65 Bob Meredith DT 6-3 235 Jr.
66 John Harris LB 6-0 210 Jr.
68 Greg Peters OG 6-5 250 Sr.
70 David Newberry OG 6-2 240 Jr.
71 Duane Williams C 6-1 245 Sr.
73 Leo Biedermann OT 6-8 255 Jr.
74 Bob Smiland OT 6-6 235 Jr.
75 Duke Leffler OT 6-4 250 Jr.
76 Dave Leßeotif OG 6-3 220 Sr.
77 Jack Clark DT 6-4 240 Jr.
78 James Wilkes DT 6-5 210 Fr.
79 Ted Albrecht OT 6-4 250 Sr.
82 Stan Glenn DE 6-0 210 Jr.
83 George Freitas TE 6-3 220 Jr.
84 Ed Gillies WR 5-10 170 Jr.
85 Bob Warner NG 6-0 215 Sr.
86 Charlie Yauman TE 6-3 215 Jr.
87 Jeff Spitz TE 6-1 190 Fr.
88 Phil Heck LB 6-3 230 Sr.
90 Don Alaman LB 6-0 220 Jr.
91 Sam Best DT 6-2 225 Sr.
92 Craig Watkins DT 6-5 240 Soph.
95 Charles Hatch WR 6-3 180 Jr.
97 George Barbie DT 6-2 215 Jr.
98 Don Moore TE 6-4 225 Fr.
99 Wesley Walker WR 6-1 175 Sr.
NO. NAME POS. HT. WT. CLASS
3 Jim Breech PK 5-7 165 Jr.
6 MikeOßrien DB 6-0 190 Jr.
8 Greg Cummins P 6-2 175 Fr.
10 Matt Bouza DB 6;2 175 Fr.
11 Fred Besana QB 6-4 200 Sr.
12 Joe Roth QB 6-4 205 Sr.
14 Eric Anderson QB 6-4 200 Soph.
15 James Hughes DB 6-0 190 Jr.
16 Jeff Moye DB 5-11 175 Jr.
17 Gary Graumann QB 5-10 175 Jr
18 Holden Smith WR 6-2 190 Fr
20 Kevin Dakis DB 6-0 185 Soph.
21 Jesse Thompson WR 6-2 180 Jr.
22 Darnell Chapman DB 6-1 180 Fr
24 Oliver Hillmon RB 5-10 190 Soph
27 Ron Coccimiglio DB 6-1 180 Fr.
28 Leon Washington WR 6-3 165 Sr.
29 Steve Maehl DB 6-4 200 Sr.
30 Vern Smith DB 6-0 195 Sr
