# Stanford stats
## 
### 
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
Player FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Belton 29-48 .604 7-13 .539 35 65 16.3
Pitchford 24-40 .600 5-6 .833 8 53 13.3
McHugh 22-39 .564 7-7 1.000 25 51 12.8
Carter 20-32 .625 9-14 .643 30 49 12.3
Giovacchini 12-31 .387 7-9 .778 7 31 7.8
Perry 10-32 .313 6-8 .750 11 26 6.5
Schader 8-25 .320 3-7 .429 17 19 4.8
Ryan 5-10 .500 2-3 .667 8 12 3.0
Schmalzried 3-7 .429 0-0 .000 11 6 2.0
Barnes 0-0 .000 0-0 .000 0 0 0.0
Fitzner 0-0 .000 0-0 .000 0 0 0.0
