# Washington stats
## 
### 
(Through Jan. 11, 1978)
PLAYER FG-FGA PCT. FT-FTA PCT. REB. PTS. AVG.
Stewart 85-176 .483 29-48 .604 131 199 1 5.3
Neill 71-169 .420 43-57 .754 28 185 14.2
Walker 52-114 .456 18-23 .783 57 122 9.4
Woods 48-109 .440 19-30 .633 107 115 8.8
Vaughn 2345 .511 23-26 .885 10 69 5.8
Scott 29-66 .439 5-10 .500 31 63 4.8
Hess 21-37 .568 14-26 .538 17 56 4.3
Gudmundsson 18-41 .439 14-17 .824 30 50 4.2
Frank 15-38 .395 18-22 .818 11 48 3.7
Griffin 13-31 .419 5-14 .357 18 31 2.4
Matzen 9-29 .310 6-8 .750 11 24 6.0
Sledz 2-3 .667 2-2 1.000 6 6 1.0
Mattila 0-0 .000 0-0 .000 1 0 0.0
Hartman 0-1 .000 0-0 .000 0 0 0.0
Washington 386-859 .449 196-283 .693 544 968 74.5
Opponents 384-861 .446 169-242 .698 566 937 72.1
