# STANFORD CARDINAL
## 
### 
Probable Starters

Offense
Split End Emile Harry 10
Left Tackle Jeff Deaton 64
Left Guard .Matt Moran 61
Center Brent Martin 51
Right Guard Tom Prukop 52
Right Tackle Steve Aimonetti 63
Tight End Greg Baty 84
Quarterback Steve Cottrell 6
Fullback Rob Moore 33
Halfback Kevin Scott 24
Flanker Mike Tolliver 26
Kicker Mark Harmon 8

Defense
Left End Garin Veris 80
Left Tackle Pat Mitchel 75
Right Tackle Dave Marohnic 99
Right End John Bergren 85
Left Linebacker Tom Briehl 90
Middle Linebacker Dave Wyman 92
Right Linebacker Matt Soderlund 47
Left Cornerback Kevin Baird 48
Strong Safety Vaughn Williams 45
Free Safety .Charles Hutchings 46
Right Cornerback Eric Price 27
Punter Tripp Hardin 12

Coaching Staff
Head Coach Paul Wiggin
Asst. Head Coach Ray Handley
Offensive Coordinator Jim Fassel
Defense Line Larry Mac Duff
Running Backs Jim Anderson
Defensive Backs .... Andy Christoff
Receivers Dave Ottmar
Offensive Line Pete Mangurian
Inside Linebackers Mike Nolan
Tight Ends . .Bryan Shaw
Administrative Aide Dick James

NO. NAME POS. HT. WT. CLASS
2 Bill Jackson DB 5-11 194 So.
3 Bill Pimental WR 5-10 153 Sr.
4 Greg Topp QB 6-4 192 Jr.
5 Ed St. Geme SS 6-2 191 Sr.
6 Steve Cottrell QB 5-10 185 Sr.
7 Joseph Cain LB 6-1 200 Fr.
8 Mark Harmon K 5-9 197 Sr.
9 Craig Landis DB 6-2 208 Fr.
10 Emile Harry WR 5-11 163 Jr.
11 Fred Buckley QB 6-1 196 Jr.
12 Tripp Hardin P 6-1 197 Sr.
13 Peter Andrews QB 6-0 180 So.
14 John Paye QB 6-3 195 Fr.
15 Dwain Hamilton DB 5-9 162 Jr.
16 Mark Hashimoto DB 6-0 175 So.
17 Darrell Grissum FS 6-2 171 Jr.
18 Pat Boushka QB 6-2 195 Fr.
19 Don Longsinger WR 6-3 187 Sr.
20 Thomas Henley RB 5-11 180 Fr.
21 Chris Steevens DB 5-11 180 So.
22 Jeff James WR 6-0 170 Fr.
23 Eric Mullins WR 5-11 178 Sr.
24 Kevin Scott RB 5-9 182 So.
25 Brad Muster RB 6-3 185 Fr.
26 Mike Tolliver WR 6-0 175 Sr.
27 Eric Price DB 5-9 180 Jr.
28 Shaun Avant RB 5-9 203 Jr.
29 Scott Phillippi P 6-2 175 Fr.
30 Steve Lemon DB 5-11 186 Sr.
31 Walt Harris DB 6-1 180 So.
32 Marshall Dillard RB 6-3 210 Fr.
33 Rob Moore RB 6-1 217 Sr.
34 Kaulana Park RB 6-3 220 Jr.
35 Cornelius Williams RB 5-11 191 So.
36 Stan Gill RB 5-9 203 So.
37 Jack Gilmete LB 6-1 210 Jr.
38 Jonathan Brown RB 5-11 180 Jr.
39 Jeff Arrillaga DB 6-1 195 Jr.
40 Brian Protiva DB 6-1 180 Fr.
41 Derek Whittle DB 5-11 178 Sr.
42 Steve Brown WR 6-2 180 Sr.
43 Wendell Brown WR 5-9 160 Fr.
44 Toi Cook DB 5-11 175 Fr.
45 Vaughn Williams SS 6-2 189 Sr.
46 Charles Hutchings FS 6-3 206 Sr.
47 Matt Soderlund LB 6-3 226 Jr.
48 Kevin Baird DB 6-0 190 Sr.
49 Brian Morris FB 6-3 216 So.
50 Kurt Colehower LB 6-2 210 Fr.

NO. NAME POS. HT. WT. CLASS
51 Brent Martin C 6-4 246 Jr.
52 Tom Prukop OG 6-2 253 So.
53 Scott Carpenter OG 6-4. 276 Sr.
54 Frank Dispalartro LB 6-3 233 Sr.
55 George Ebertin LB 6-1 236 So.
56 Kevir» Lamar OG 6-3 253 Sr.
57 Bill Fiander DE 6-4 215 Fr.
58 Del Detwiler LB 6-2 230 So.
59 Ernie Fisher DE 6-4 220 So.
60 Tom Nye OG 6-2 232 So.
61 Matt Moran OG 6-4 260 Sr.
62 John Benjamin OL 6-5 230 Fr.
63 Steve Aimonetti OT 6-1 239 Sr.
64 Jeff Deaton OT 6-3 270 Sr.
65 Rob Macauley C 6-3 233 Jr.
66 Andy Hsu OT 6-4 264 So.
67 Terry Jackson DE 6-5 264 Jr.
68 Bob Jansen DT 6-1 232 So.
69 Steve Morris OT 6-5 240 Fr.
70 Kevin Payne OG 6-3 237 So.
71 Kurt Josephson C 6-3 250 So.
72 Louie Ford OL 6-3 230 Fr.
73 Ken Orvick OT 6-4 267 Sr.
74 John Barns OT 6-7 276 Jr.
75 Pat Mitchel DT 6-5 243 Sr.
76 Tony De Tomaso OT 6-7 270 Fr.
77 Joe Lortie DL 6-5 230 Fr.
78 David Keane OL 6-3 220 Fr.
79 Mike Wyman DT 6-6 242 Sr.
80 Garin Veris DE 6-6 250 Jr.
81 Alan Summers TE 6-3 203 So.
82 Jim Clymer TE 6-4 243 Sr.
83 Chris Chapman WR 5-10 177 So.
84 Greg Baty TE 6-5 231 So.
85 John Bergren TE 6-6 240 Sr.
86 Sean Scheller TE 6-6 230 Fr.
87 Dan Westerfield TE 6-3 220 Jr.
88 Scott Springer TE 6-4 210 Fr.
89 Don Stubblefield DE 6-5 230 Sr.
90 Tom Briehl LB 6-4 230 Jr.
91 Paul Svitenko LB 6-2 210 Fr.
92 Dave Wyman LB 6-3 231 So.
93 Mark Andrew LB 6-2 220 So.
94 Mike Noble LB 6-4 235 So.
95 Mark Machtolf LB 6-3 200 Fr.
96 Andy Brooks LB 6-4 200 Sr.
97 Fred Stahl DL 6-5 226 Fr.
98 Chris Weber LB 6-4 210 Fr.
99 Dave Marohnic DT 6-5 244 Jr.
