# SAN JOSE STATE SPARTANS
## 
### 
Offense
Split End Kenny Nash 89
Sean Harvey 87
Left Tackle Mike Barnard 70
Bruce McAlvain 75
Left Guard David Diaz-Infante 63
Michael Session 60
Center Tim Stejskal 56
Don Teague 62
Right Guard Jim Carter 67
Michael Session 60
Right Tackle Bruce McAlvain 75
James Garrett 71
Tight End Cortez Thomas 27
Todd Cage 81
Quarterback Jon Carlson 6
Doug Allen 4
Fullback Mike Meredith 32
Keith Tatum 36
Tailback Randy Walker 5
Donald Stewart 34
Flanker \. .Stephen Crawford 22
Lafo Malauulu 3
Kicker Tony Brown 9

Defense
Left End Sam Kennedy 55
Brett Grauss 91
Left Tackle .Mark Dean 74
Chris Cross 94
Nose Guard .Robert Cavaretta 99
Teddy Taylor 97
Right Tackle Wayne Woodard 92
Mace Gouldsby 78
Right End Jimmmy Priest 58
Rich Harbison 10
Inside Linebacker Curt Lyon 54
Jim Hollinger 50
Inside Linebacker Dan Cheadle 45
Sean Logan 57
Left Cornerback Marcus Mcdade 2
Edwin Climons 28
Strong Safety K.C. Clark 16
Shawn Cadreau 31
Free Safety Larry Weldon 1
Freddie Payton 21
Right Cornerback Stacey Giicrest 17
Craig Bel! 18
Punter Doug Allen 48
Sean Laughlin 6

Roster

NO. NAME POS. HT. WT. CLASS
1 Larry Weldon S 6-1 188 Jr.
2 Marcus McDade CB 5-11 177 Sr.
3 Lafo Malauulu WR 5-9 191 Jr.
4 Doug Allen QB 6-0 163 So.
5 Randy Walker HB 5-8 200 Jr.
6 Jon Carlson QB 6-1 209 Sr.
7 Marvin Moon WR 6-1 175 Jr.
8 Clarence Johnson WR 6-1 203 Jr.
9 Tony Brown PK 5-11 184 Sr.
10 Rich Harbison DE 6-0 223 So.
11 Mike Perez QB 6-1 205 Jr.
12 Eric Hawkins HB 6-0 211 Fr.
13 Tom Diehl P 6-4 195 So.
15 Tom Cortez QB 6-0 193 Jr.
16 K.C.Clark S 5-10 181 Jr.
17 Stacey Gilcrest CB 5-10 181 Sr.
18 Craig Bell ;CB 6-0 180 Jr.
19 Sean Laughlin P 6-2 203 Sr.
20 Kenny Roberts WR 6-0 185 Jr.
21 Freddie Payton S 5-7 158 Jr.
22 Stephen Crawford WR 5-11 175 Jr.
23 Paul Jones HB 5-10 205 Jr.
24 Ryanßasnick CB 5-10 170 Fr.
25 John King CB 5-9 167 Jr.
26 Gary Satterfield WR 5-8 165 Jr.
27 Cortez Thomas WR 6-2 204 Jr.
28 Edwin Climons CB 5-8 178 Jr.
29 Lenny Davis WR 5-11 185 Jr.
30 Keith Vanderhoff PK 5-9 180 Fr.
31 Shawn Cadreau S 5-10 194 Jr.
32 Mike Meredith HB 5-11 196 Jr.
34 Donald Stewart HB 5-10 206 So.
35 Leon Shaver HB 5-11 180 Jr.
36 Keith Tatum FB 6-2 207 Sr.
37 Rafael Santini LB 6-0 225 Jr.
38 Bobby Cobarruvias FB 5-10 207 Sr.
39 Steve Johnson HB 5-8 180 Jr.
40 Greg Cox CB 6-1 205 Jr.
41 Rod Riley HB 5-10 184 So.
43 Kim Johnson S 6-0 211 Sr.
45 Dan Cheadle LB 6-4 224 Jr.

48 Danny Clark DT 6-2 237 Sr.
50 Jim Hollinger LB 6-0 210 Sr.
51 Chris Alexander LB 6-1 220 Jr.
53 Tim Purvis LB 6-1 240 Sr.
54 Curt Lyon DE 6-1 212 Sr.
55 Sam Kennedy DE 6-3 219 Jr.
56 Tim Stejskal C 6-2 263 Jr.
57 Sean Logan LB 6-0 232 Jr.
58 Jimmy Priest DE 6-1 204 Jr.
59 Bill Lehman DE 6-4 218 Jr.
60 Michael Session OG 6-0 237 Sr.
61 Doug McCreath C 6-3 238 Jr.
62 DonTeague C 6-2 260 Jr.
63 David Diaz-Infante OG 6-2 247 Jr.
65 John Aimonetti OT 6-3 271 Sr.
66 Manu Mulitalo OT 6-3 276 Sr.
67 Jim Carter OG 6-4 250 So.
70 Mike Barnard OT 6-6 254 So.
71 James Garrett OT 6-5 310 Jr.
72 Bryan Stevens OG 6-1 243 Jr.
73 Ed Huse OT 6-8 253 Jr.
74 Mark Dean NG 6-1 255 Jr.
75 Bruce McAlvain OG 6-0 246 Sr.
77 Edwin Bird DT 6-3 256 Sr.
78 Mace Gouldsby DT 6-1 279 Jr.
80 Amil Hall WR 6-2 180 Sr.
81 Todd Cage WR 6-1 193 Jr.
82 John Murphy TE 6-4 225 Jr.
83 Greg Jackson TE 6-3 215 Jr.
84 Terrance Williams WR 6-0 184 Sr.
86 Rick Eaton WR 6-1 180 Jr.
87 Sean Harvey WR 6-4 190 Jr.
88 Booker Moore WR 6-1 173 So.
89 Kenny Nash WR 6-3 190 Jr.
90 Don Chambers DT 6-5 220 Fr.
91 Brett Grauss DE 6-3 208 Sr.
92 Wayne Woodard DT 6-4 250 Jr.
93 Bryan Grauss DE 6-3 208 Sr.
94 Chris Cross DT 6-0 234 Jr.
95 Artie Gerrans DT 6-4 245 Jr.
97 Teddy Taylor NG 6-1 276 Jr.
99 Robert Cavaretta NG 5-10 221 Sr.
