# Coaching Staff
## 
### 
Head Coach Jack Elway, Washington State '53
Defensive Coordinator, Secondary DickMannini, Cal Poly-SLO '5B
Wide Receivers Dave Baldwin, Cal State-Northridge '7B
Offensive Line Tony Yelovich, Tampa '64
Running Backs .. Jimmy Walsh, San Jose State '79
Tight Ends Otto Kofler, Washington State '5O
Defensive Line Tony Samuel, Nebraska '7B
Inside Linebackers Larry Kerr, San Jose State '75
Outside Linebackers Sonny Lubick, Western Montana College '6O
Recruiting Coordinator Dick James, UC-Davis '62
Asst. Dir. of Athletics/Football Operations Tom Beckett, Pittsburgh '6B
Strength and Conditioning Steve Schulz, Doane '77
