# UCLA BRUINS
## 
### 
Offense
Split End Willie Anderson 83
David Clinton 19
Left Tackle Robert Cox 72
Eric Rogers 61
Left Guard Mark Hartmeier 63
Onno Zwaneveld 79
Center Joe Goebel 69
Tony Pankopf 55
Right Guard Jim McCullough 77
Jim Alexander 73
Right Tackle Russ Warnick 74
John Kidder 70
Tight End Derek Tennell 81
Earl Smith 96
Quarterback David Norrie 9
Matt Stevens 11
Fullback Mel Farr 22
Marcus Greenwood 45
Tailback Eric Ball 21
James Primus 23
Flanker Karl Dorrell 8
Al Wilson 88
Kicker John Lee 25

Defense
Outside Linebacker Melvin Jackson 59
Chance Johnson 7
Left Tackle Frank Batchkoff 92
Doug Wassel 75
Nose Guard Terry Tumey 40
Jim Wahler 66
Right Tackle MarkWalen 95
Jeff Glasser 58
Outside Linebacker Eric Smith 98
Billy Ray 35
Inside Linebacker Steve Jarecki 99
Ken Norton 41
Inside Linebacker Tommy Taylor 42
David Simpson 53
Left Cornerback Chuckie Miller 37
Kirk Alexander 14
Strong Safety Craig Rutledge 30
Alan Dial 27
Free Safety James Washngton 3
Joe Gasser 28
Right Cornerback Dennis Price 6
Darryl Henley 2
Punter Ted Henderson 36

Roster

NO. NAME POS. HT. WT. CLASS
2 Darryl Henley CB 5-9 163 Fr.
3 James Washington FS 6-1 196 So.
4 Jim Bray K 5-11 184 Sr.
6 Dennis Price CB 6-2 174 So.
7 Chance Johnson LB 6-1 211 Fr.
8 Karl Dorrell FL 5-11 191 Jr.
9 David Norrie QB 6-4 210 Sr.
10 Gifford Irvine FL 5-6 153 Jr.
11 Matt Stevens QB 6-0 191 Jr.
12 Brendan McCracken QB 5-11 201 Fr.
14 Kirk Alexander CB 5-11 177 Jr.
15 Danny Thompson FB 6-0 194 Fr.
18 Harold Barkate P 5-11 195 Fr.
19 David Clinton SE 5-7 180 Jr.
20 Bob Garibaldi SE 5-10 194 Jr.
21 Eric Ball TB 6-1 215 Fr.
22 MelFarr FB 6-0 214 So.
23 James Primus TB 5-11 188 So.
24 Marcus Turner CB 6-0 190 Fr.
25 John Lee K 5-11 187 Sr.
26 Paco Craig FL 5-10 168 So.
27 Alan Dial SS 6-0 182 So.
28 Joe Gasser FS 5-11 180 Sr.
30 Craig Rutledge SS 6-0 187 Jr.
31 Carnell Lake LB 6-1 195 Fr.
32 Josh Shinnick SS 5-11 185 Sr.
33 Greg Francois FB 5-10 196 Jr.
35 Billy Ray LB 6-3 207 Fr.
36 Ted Henderson P 6-1 195 Sr.
37 Chuckie Miller CB 5-9 178 Jr.
40 Terry Tumey NG 6-1 232 So.
41 Ken Norton LB 6-2 222 So.
42 Tommy Taylor LB 6-0 235 Sr.
43 Dave Franey K 5-8 169 Jr.
44 Gaston Green TB 5-10 191 So.
45 Marcus Greenwood FB 5-11 210 Jr.
46 Jeff Damron FS 6-1 178 So.
48 Doug Kline LB 6-1 231 Fr.

NO. NAME POS. HT. WT. CLASS
51 Tom Whitenight OL 6-4 239 Fr.
52 Terry Theodore LB 6-1 222 Sr.
53 David Simpson LB 6-0 202 So.
54 Reuben Thropay LB 6-2 214 Jr.
55 Tory Pankopf C 6-3 232 Jr.
58 Jeff Glasser DL 6-3 242 So.
59 Melvin Jackson LB 6-3 223 So.
60 Mitch Johnson C 6-5 242 Fr.
61 Eric Rogers OL 6-4 265 Jr.
63 Mike Hartmeier OL 6-5 265 Sr.
66 Jim Wahler NG 6-4 238 Fr.
67 Bobby Menifield C 6-1 263 Fr.
68 Frank Cornish OL 6-4 250 Fr.
69 Joe Goebel C 6-5 260 Jr.
70 John Kidder OL 6-5 265 So.
72 Robert Cox OL 6-5 258 Sr.
73 Jim Alexander OL 6-4 257 Jr.
74 Russ Warnick OL 6-5 255 So.
75 Doug Wassel DL 6-3 244 So.
77 Jim McCullough OL 6-5 262 Sr.
78 Steve Mehr OL 6-6 249 Fr.
79 Onno Zwaneveld C 6-5 258 Jr.
81 Derek Tennell TE 6-4 236 Jr.
82 MikeSherrard WR 6-2 186 Sr.
83 Willie Anderson SE 6-0 166 So.
85 KirkMaggio P 5-10 150 Fr.
87 Scott Franklin LB/DL6-2 221 Sr.
88 Al Wilson FL 6-0 185 Sr.
89 Jeff Nowinski TE 6-3 232 Sr.
90 Jim Mastera NG 6-3 238 Jr.
91 Greg Bolin LB 6-2 231 Jr.
92 Frank Batchkoff DL 6-4 244 Jr.
93 Joe Picked TE 6-4 229 So.
95 Mark Walen DL 6-5 252 Sr.
96 Earl Smith TE 6-1 255 Sr.
97 Marcus Hudspeth DL 6-4 241 Jr.
98 Eric Smith LB 6-3 222 So.
99 Steve Jarecki LB 6-2 217 Sr.

