# OREGON STATE BEAVERS
## 
### 
Offense
Split End Robert Adams 85
EricOry 86
Left Tackle Tom Emmons 77
Don Gray 55
Left Guard Darrick Brilz 65
Mike Bailey 70
Center Jack Lester 52
Kenny Felix 61
Right Guard Dave Giacomelii 69
Curt Olsen 74
Right Tackle Doug Wright 63
Chris Dahlen 71
Tight End Phil Ross 81
Ron Heller 48
Quarterback Rich Gonzales 15
Don Lema 17
Fullback Darvin Malone 3
Eric Hochevar 35
Tailback Erick Montgomery 33
Carl Lane 23
Flanker Reggie Bynum 80
Dave Montagne 46
Kicker Jim Nielsen 13

Defense
Left End Gino Mingo 91
Paul Saunders 8
Left Tackle Phil Alfieri 93
Lance Jackson 99
Right Tackle Bob Cline 92
Paul Hayes 95
Right End Andre Todd 42
Ron Helller 48
Outside Linebacker Harold Johnson 84
Jim Cureton 87
Middle Linebacker Jeff Schneider 47
Paul Sanuders 8
Outside Linebacker Osia Lewis 7
Mike Matthews 58
Left Cornerback Lavance Northington 2
Teddy Johnson 29
Strong Safety Michael Lopez 19
Mark Dolby 20
Free Safety Jamie Norman 9
Scott Monson 44
Right Cornerback Don Odegard 21
Reggie Hawkins 16
Punter Glenn Pena 40

Roster

NO. NAME POS. HT. WT. CLASS
2 Brian McElroy CB 5-11 185 Jr.
2 Lavance Northington CB 6-0 188 Jr.
3 Darvin Malone FB 6-0 210 Sr.
4 Erik Wilhelm QB 6-2 206 Fr.
5 Lloyd Bailey WR 6-1 165 Fr.
6 Marty Breen KS 6-0 180 Jr.
7 Ostia Lewis WLB 6-0 225 Sr.
8 Steve Steenwyk QB 6-1 195 Sr.
9 Jamie Norman FS 6-0 187 Jr.
10 Dave Brannon CB 6-0 200 Fr.
12 Shaun Shahan QB 6-1 200 Fr.
13 Jim Nielsen KS 5-11 200 Sr.
14 Sean Dimmick QB 6-3 215 Fr.
15 Rich Gonzales QB 6-2 190 Fr.
16 Regie Hawkins WR 5-11 189 Sr.
17 Don Lema QB 6-0 202 Jr.
18 Robb Thomas WR 5-11 172 Fr.
19 Michael Lopez SS 6-0 206 Sr.
20 Mark Dolby SS 6-0 201 Fr.
21 DonOdegard DB 6-1 180 Fr.
22 Jerry Jordan TB 5-10 200 So.
23 Carl Lane TB 5-10 191 Jr.
24 Brian Swanson FB 6-0 204 Fr.
25 George Gaines WR 6-1 197 Fr.
28 PatChaffey TB 6-2 190 Fr.
29 Teddy Johnson CB 5-9 182 Fr.
30 Darrin Houston WR 6-2 190 Sr.
31 Willie Stubblefield TE 6-2 215 Jr.
32 Dowell Williams FB 6-1 205 Fr.
33 Erick Montgomery TB. 5-9 183 So.
34 Charles Stempeck P 6-1 200 Jr.
35 Eric Hochevar FB 5-10 210 So.
36 Tim Haakenson CB 5-11 175 Fr.
37 Kevin Owens TB 5-10 160 Fr.
38 Bennie Mitchell WR 5-11 170 Fr.
40 Glenn Pena P 6-0 185 Jr.
41 Scott Sanders WLB 6-2 210 Fr.
42 Andre Todd DE 6-3 219 Sr.
43 Bruce Sanders SLB 6-3 220 Fr.
44 Scott Monson CB 5-9 172 Jr.
45 Mike Parker SLB 6-3 218 Sr.
46 David Montagne WR 6-2 178 Jr.
47 Jeff Schneider MLB 6-1 222 So.

NO. NAME POS. HT. WT. CLASS
49 Jerald Carr RB 6-2 202 So.
51 Garth Rouse OT 6-5 265 Sr.
52 Jack Lester C 6-3 251 Sr.
53 Roy Bradshaw OG 6-3 270 Fr.
54 Jeff Mori OG 6-2 263 Fr.
55 Don Gray OT 6-3 273 Jr.
56 Brad Struck DE 6-4 212 Fr.
57 Ken Kiff OT 6-7 242 Fr.
58 Mike Matthews MLB 6-1 226 Fr.
59 Chuck Kershner MLB 6-2 227 Jr.
60 Bill Sloan OG 6-2 256 Fr.
61 Kenny Felix C 6-2 255 Fr.
63 Doug Wright OT 6-5 282 Sr.
64 Scott Reiter C 6-3 267 Jr.
65 Darrick Britz OG 6-3 267 Jr.
69 Dave Giacomelli OG 6-4 260 Jr.
70 Mike Bailey OT 6-4 240 Fr.
71 Chris Dahlen OT 6-6 252 Jr.
72 Kurt Munson DT 6-3 235 Fr.
73 Trevor Gibson DE 6-4 210 Fr.
74 Curt Olsen OG 6-2 242 So.
76 James Sillik OG 6-4 231 Fr.
77 Tom Emmons DT 6-5 270 Sr.
80 Reggie Bynum WR 6-2 193 Sr.
81 Phil Ross TE 6-4 212 Fr.
82 Duane Stan TE 6-4 242 Sr.
83 Roman Fortin TE 6-4 225 Fr.
84 Harold Johnson WLB 6-0 208 Jr.
85 Robert Adams WR 5-11 177 Sr.
86 EricOry WR 6-0 170 Jr.
87 Jim Cureton SLB 6-4 214 So.
89 George Breland WR 6-4 190 Fr.
90 Rich Haggerty DT 6-2 245 So.
91 Gina Mingo DE 6-1 255 Jr.
92 Bob Cline DT 6-3 256 Sr.
93 Phil Alfieri DE 6-2 245 So.
94 Brent Mann SLB 6-3 222 Fr.
95 Paul Hayes DE 6-5 231 Sr.
96 Larry Gladsjo DE 6-4 235 Fr.
97 Ryan Hollenbeck TE 6-3 205 Fr.
98 Jarrett Branch TE 6-5 216 Fr.
99 Lance Jackson DT 6-2 248 Fr.

