# CALIFORNAIA
## GOLDEN BEARS 
### 
Offense
Split End Keith Cockett 21
James Devers 85
Left Tackle Mark Stephens 64
Stu McElderry 58
Left Guard Ron Zenker 71
Kam King 50
Center Chuck Steele 53
BradJackman 68
Right Guard Blaise Smith 76
Lou Sergeant 56
Right Tackle Keith Kartz 78
Joe Tupy 63
Tight End Darrly Ingram 88
Don Noble 87
Quarterback Kevin Brown 16
Brian Bedford 10
Fullback Ed Barbero 49
Todd Powers 37
Tailback Dwight Garner 43
Marc Hicks 38
Flanker Vince Delgado 13
Gayland Houston 4
Kicker Leland Rix 48

Defense
Outside Linebacker John Geringer 54
Steve Hendrickson 30
Left Tackle . .Doug Riesenberg 73
Natu Tuatagaloa 62
Nose Guard Majett Whiteside 77
Nick Astromoff 74
Right Tackle Marlin Wenstrom 90
Ron Sebahar 70
Outside Linebacker Brian Walgenbach 91
Miles Turpin 42
Inside Linebacker John Johnson 41
Pat McDonald 92
Inside Linebacker Hardy Nickerson 47
Mel McClanahan 31
Left Cornerback Ken Pettway 2
Alex Dixon 24
Strong Safety Matt Grimes 20
David Carter 27
Free Safety Garey Williams 32
Darryl Stall worth 5
Right Cornerback Sidney Johnson 1
Gary Hein 26
Punter Marc Hicks 38
Jerry Goff 99

Roster

NO. NAME POS. HT. WT. CLASS
1 Sidney Johnson DB 5-11 175 Jr.
2 Ken Pettway DB 5-11 180 Sr.
2 Brad Howe QB 6-4 200 So.
3 Tyrone Moore RB 5-11 185 Jr.
3 Martin Wong K 5-6 150 So.
4 Gayland Houston RB 5-11 180 Sr.
4 Brian McGhee QB 6-0 180 Fr.
5 Darryl Stallworth SS 6-0 190 Fr.
6 William Jackson RB 6-0 195 Fr.
7 Rusty Simms WR 5-11 170 Sr.
7 D'Andre Wells QB 6-3 175 Fr.
8 Wendell Peoples WR 6-1 185 Jr.
9 Jerry Montgomery DB 6-2 195 Fr.
9 Mike O'Donnell WR 6-1 195 Jr.
10 Brian Bedford QB 6-4 200 So.
11 Jeff Rice QB 6-3 200 Fr.
13 Vincent Delgado WR 5-9 175 So.
14 Rob Bimson DB 6-2 185 Fr.
15 Pat Arnold DB 6-01 195 Fr.
16 Kevin Brown QB 6-3 205 Jr.
17 Kevin Sullivan DB 5-10 180 Jr.
17 Mark Moser QB 6-4 195 Jr.
18 Ron Flores QB 6-3 195 Fr.
19 Derek Taylor DB 5-11 180 Fr.
20 Matt Grimes SS 6-2 190 Sr.
20 Jim Medall K 5-11 165 So.
21 Keith Cockett WR 6-0 190 Sr.
22 Winfred Roberson RB 6-1 200 Fr.
23 Mike Anderson WR 6-0 180 So.
