# 1997 CAL FOOTBALL (3-7,1-6 Pac-10)
## 
### 
Sept. 6 @ Houston W, 35-3
Sept. 20 OKLAHOMA W, 40-36
Sept. 27 USC L, 17-27
Oct. 4 @ Louisiana Tech L, 34-41
Oct. 11 WASHINGTON L, 3-30
Oct. 18 ©Washington State L, 37-63
Oct. 25 @UCLA L, 17-35
Nov. 1 OREGON STATE W, 33-14
Nov. 8 ARIZONA STATE L, 21 -28
Nov. 15 @ Arizona L, 38-41
Nov. 22 @ Stanford 12:30 p.m
Sept. 6 @ Houston W, 35-3
Sept. 20 OKLAHOMA W, 40-36
Sept. 27 USC L, 17-27
Oct. 4 @ Louisiana Tech L, 34-41
Oct. 11 WASHINGTON L, 3-30
Oct. 18 ©Washington State L, 37-63
Oct. 25 @UCLA L, 17-35
Nov. 1 OREGON STATE W, 33-14
Nov. 8 ARIZONA STATE L, 21 -28
Nov. 15 @ Arizona L, 38-41
Nov. 22 @ Stanford 12:30 p.m
Sept. 6 @ Houston W, 35-3
Sept. 20 OKLAHOMA W, 40-36
Sept. 27 USC L, 17-27
Oct. 4 @ Louisiana Tech L, 34-41
Oct. 11 WASHINGTON L, 3-30
Oct. 18 ©Washington State L, 37-63
Oct. 25 @UCLA L, 17-35
Nov. 1 OREGON STATE W, 33-14
Nov. 8 ARIZONA STATE L, 21 -28
Nov. 15 @ Arizona L, 38-41
Nov. 22 @ Stanford 12:30 p.m
Sept. 6 @ Houston W, 35-3
Sept. 20 OKLAHOMA W, 40-36
Sept. 27 USC L, 17-27
Oct. 4 @ Louisiana Tech L, 34-41
Oct. 11 WASHINGTON L, 3-30
Oct. 18 ©Washington State L, 37-63
Oct. 25 @UCLA L, 17-35
Nov. 1 OREGON STATE W, 33-14
Nov. 8 ARIZONA STATE L, 21 -28
Nov. 15 @ Arizona L, 38-41
Nov. 22 @ Stanford 12:30 p.m
Sept. 6 @ Houston W, 35-3
Sept. 20 OKLAHOMA W, 40-36
Sept. 27 USC L, 17-27
Oct. 4 @ Louisiana Tech L, 34-41
Oct. 11 WASHINGTON L, 3-30
Oct. 18 ©Washington State L, 37-63
Oct. 25 @UCLA L, 17-35
Nov. 1 OREGON STATE W, 33-14
Nov. 8 ARIZONA STATE L, 21 -28
Nov. 15 @ Arizona L, 38-41
Nov. 22 @ Stanford 12:30 p.m
