# WSU Lineup
## 
### 
Offense
SE 5 Mike Bush, Sr., 6-6, 210
1 Devard Darling, So., 6-3, 205
LT 50 Josh Parrish, Jr., 6-6, 318
LG 71 Billy Knotts, Jr., 6-7, 300
C 52 Tyler Hunt, Sr., 6-3, 290
RG 77 Derek Roche, Sr., 6-5, 295
RT 67 Calvin Armstrong, So., 6-8, 315
TE 85 Tim Burnette, Fr., 6-7, 250
SB 88 Trandon Harvey, So., 5-11, 182
QB 17 Jason Gesser, Sr., 6-1, 200
RB 25 John Tippins, Sr., 6-2, 220
FL 83 Collin Henderson, Sr., 6-1, 185
18 Jerome Riley, Sr., 6-2, 185

Defense
DE 17 D.D. Acholonu, Jr., 6-3, 245 OR
9 Isaac Brown, Jr., 6-3, 240
DT 97 Tai Tupai, Jr., 6-5, 318
DT 98 Rien Long, Jr., 6-6, 287
DE 6 Fred Shavies, Sr., 6-2, 260
WLB 48 Al Genatone, Jr., 6-0, 218
MLB 46 Pat Bennett, So., 6-0, 225
SLB 12 Ira Davis, Jr., 6-0, 215
LCB 45 Marcus Trufant, Sr., 6-0, 189
SS 24 Virgil Williams, Sr., 6-1, 195
FS 27 Erik Coleman, Jr., 5-10, 193
RCB 29 Jason David, Jr., 5-9, 165

Specialists
PK 47 Drew Dunning, Jr., 5-11, 165
P 35 Kyle Basler, Fr., 6-2, 236

KOR 27 Erik Coleman, Jr., 5-10, 193
PR 83 Collin Henderson, Sr., 6-1, 185
Offense
SE 5 Mike Bush, Sr., 6-6, 210
1 Devard Darling, So., 6-3, 205
LT 50 Josh Parrish, Jr., 6-6, 318
LG 71 Billy Knotts, Jr., 6-7, 300
C 52 Tyler Hunt, Sr., 6-3, 290
RG 77 Derek Roche, Sr., 6-5, 295
RT 67 Calvin Armstrong, So., 6-8, 315
TE 85 Tim Burnette, Fr., 6-7, 250
SB 88 Trandon Harvey, So., 5-11, 182
QB 17 Jason Gesser, Sr., 6-1, 200
RB 25 John Tippins, Sr., 6-2, 220
FL 83 Collin Henderson, Sr., 6-1, 185
