# USC Trojan Lineup
## 
### 
Offense
SE 1 Mike Williams, So., 6-5, 230
LT 77 Jacob Rogers, Sr., 6-6, 305
LG 78 Lenny Vandermade, Sr., 6-3, 275
C 62 Norm Katnik, Sr., 6-4, 280
RG 57 Fred Matua, Fr., 6-4, 280
RT 73 John Drake, Jr., 6-4, 350
-or- 74 Winston Justice, So., 6-6, 300
TE 86 Dominique Byrd, So., 6-3, 255
QB 11 Matt Leinart, So., 6-5, 220
FB 40 Brandon Hancock, So., 6-1, 235
TB 21 . LenDale White, Fr., 6-2, 225
-or- 34 Hershel Dennis, So., 5-11, 190
FL 83 Keary Colbert, Sr., 6-2, 210

Defense
DE 94 Kenechi Udeze, Jr., 6-4, 285
NT 99 Mike Patterson, Jr., 6-0, 285
DT 84 Shaun Cody, Jr., 6-4, 285
DE 56 Omar Nazel, Sr., 6-5, 245
SLB 6 Matt Grootegoed, Jr., 5-11, 215
MLB 53 Daniel Urguhart, Jr., 6-2, 250
-or- 58 Lofa Tatupu, So., 6-0, 225
WLB 51 Melvin Simmons, Sr., 6-1, 220
CB 28 Will Poole, Sr., 6-0, 190
FS 27 Jason Leach, Jr., 5-11, 210
SS 20 Darnell Bing, Fr., 6-2, 220
CB 8 Marcell Allmond, Sr., 6-0, 200

Specialists
PK 16 Ryan Killeen, Jr., 5-11, 200
P 14 Tom Malone, So., 6-0, 190

KOR 5 Reggie Bush, Fr., 6-0, 190
8 Marcell Allmond, Sr., 6-0, 200
PR 19 Greig Carlson, So,. 5-10, 195
