# 106 BIG GAMES
## 
### 
Stanford leads series
54-41-3
Year Winner Score Site
1892 Stanford 14-10 SF
1892 Tie 10-10 SF
1893 Tie 6-6 SF
1894 Stanford 6-0 SF
1895 Tie 6-6 SF
1896 Stanford 20-0 SF
1897 Stanford 28-0 SF
1898 California 22-0 SF
1899 California 30-0 SF
1900 Stanford 5-0 SF
1901 California 2-0 SF
1902 California 16-0 SF
1903 Tie 6-6 SF
1904 Stanford 18-0 Cal
1905 Stanford 12-5 Stan
1906 Stanford 6-3 Cal
1907 Stanford 21-11 Stan
1908 Stanford 12-3 Cal
1909 California 19-13 Stan
1910 California 25-6 Cal
1911 California 21-3 Stan
1912 Tie 3-3 Cal
1913 Stanford 13-8 Stan
1914 Stanford 36-8 Cal
1919 California 14-10 Cal
1920 California 38-0 Cal
1921 California 42-7 Stan
1922 California 28-0 Cal
1923 California 9-0 Cal
1924 Tie 20-20 Cal
1925 Stanford 27-14 Stan
1926 Stanford 41-6 Cal
1927 Stanford 13-6 Stan
1928 Tie 13-13 Cal
1929 Stanford 21-6 Stan
1930 Stanford 41-0 Cal
1931 California 6-0 Stan
1932 Tie 0-0 Cal
1933 Stanford 7-3 Stan
1934 Stanford 9-7 Cal
1935 Stanford 13-0 Stan
1936 California 20-0 Cal
1937 California 13-0 Stan
1938 California 6-0 Cal
1939 California 32-14 Stan
1940 Stanford 13-7 Cal
1941 California 16-0 Stan
1942 Stanford 26-7 Cal
1946 Stanford 25-6 Cal
1947 California 21-18 Stan
1948 California 7-6 Cal
1949 California 33-14 Stan
1950 Tie 7-7 Cal
1951 California 20-7 Stan
1952 California 26-0 Cal
1953 Tie 21-21 Stan
1954 California 28-20 Cal
1955 Stanford 19-0 Stan
1956 California 20-18 Cal
1957 Stanford 14-12 Stan
1958 California 16-15 Cal
1959 California 20-17 Stan
1960 California 21-10 Cal
1961 Stanford 20-7 Stan
1962 Stanford 30-13 Cal
1963 Stanford 29-17 Stan
1964 Stanford 21-3 Cal
1965 Stanford 9-7 Stan
1966 Stanford 13-7 Cal
1967 California 26-3 Stan
1968 Stanford 20-0 Cal
1969 Stanford 29-28 Stan
1970 California 22-14 Cal
1971 Stanford 14-0 Stan
1972 California 24-21 Cal
1973 Stanford 26-17 Stan
1974 Stanford 22-20 Cal
1975 California 48-15 Stan
1976 Stanford 27-4 Cal
1977 Stanford 21-3 Stan
1978 Stanford 30-10 Cal
1979 California 21-14 Stan
1980 California 28-23 Cal
1981 Stanford 42-21 Stan
1982 California 25-20* Cal
1983 California 27-18 Stan
1984 Stanford 27-10 Cal
1985 Stanford 24-22 Stan
1986 California 17-11 Cal
1987 Stanford 31-7 Stan
1988 Tie 19-19 Cal
1989 Stanford 24-14 Stan
1990 Stanford 27-23 Cal
1991 Stanford 38-21 Stan
1992 Stanford 41-21 Cal
1993 California 46-17 Stan
1994 California 24-23 Cal
1995 Stanford 29-24 Stan
19% Stanford 42-21 Cal
1997 Stanford 21-20 Stan
1998 Stanford 10-3 Cal
1999 Stanford 31-13 Stan
2000 Stanford 36-30 Stan
2001 Stanford 35-28 Cal
2002 California 30-7 Stan
2003 California 28-16 Cal
