# ANATOMY OF A STREAK
## 
### 
1993-1994 (17-11, 10-8) NIT first round
1994-1995 (20-9,10-8) NCAA second round
1995-1996 (20-9,12-6) NCAA second round
1996-1997 (22-8, 12-6) NCAA Sweet Sixteen
1997-1998 (30-5, 15-3)) NCAA Final Four
1998-1999 (26-7,15-3) NCAA second round
1999-2000 (27-4, 15-3) NCAA second round
2000-2001 (31-3, 16-2) NCAA Elite Eight
2001-2002 (20-10,12-6) NCAA second round
2002-2003 (24-9, 14-4) NCAA second round
2003-2004 (30-2,17-1) NCAA second round
2004-2005 (18-13, 11-7) NCAA first round
2005-2006 (15-13, 11-7) Likely NIT berth
