# STANFORD
## 
### 
OFFENSE

Pos No Player HT WT YR
WR 89 DEVON CAJUSTE 6-4 228 JR.
LT 70 ANDRUS PEAT 6-7 312 SO.
LG 54 DAVID YANKEY 6-5 313 SR.
C 65 KHAUL WILKES 6-3 286 SR.*
RG 76 KEVIN DANSER 6-6 296 SR.*
RT 73 CAMERON FLEMING 6-6 318 SR.
TE 86 CHARLIE HOPKINS 6-6 262 JR.
QB 8 KEVIN HOGAN 6-4 228 JR.
RB 25 TYLER GAFFNEY 6-1 226 SR.
FB 85 RYAN HEWITT 6-4 246 SR.*
WR 7 TY MONTGOMERY 6-2 215 JR.
DE 90 JOSH AAAURO 6-6 282 SR.*
DT 58 DAVID PARRY 6-2 303 SR.
DE 91 HENRY ANDERSON 6-6 295 SR.
OLB 93 TRENT MURPHY 6-6 261 SR.*
ILB 11 SHAYNE SKOV 6-3 245 SR.*
ILB 17 A.J. TARPLEY 6-2 238 SR.
OLB 9 JAMES VAUGHTERS 6-2 254 JR.
CB 25 ALEX CARTER 6-0 200 SO.
FS 29 ED REYNOLDS 6-2 206 SR.
SS 8 JORDAN RICHARDS 5-11 208 JR.
CB 2 WAYNE LYONS 6-1 196 JR.
PK 19 JORDAN WILLIAMSON 5-11 191 SR.
P 14 BEN RHYNE 6-2 203 SR.
KR 7 TY MONTGOMERY 6-2 215 JR.
39 KELSEY YOUNG 5-10 195 JR.
PR 9 KODI WHITFIELD 6-2 196 SO.
LS 67 REED MILLER 6-2 225 SO.
HLD 14 BEN RHYNE 6-2 203 SR.
*FIFTH-YEAR SENIOR

